seed,gen,best,mean,best_H,best_F,best_Min
0,34,-4.879077372074986,-6.113026458306467,14.66504834522738,22.561612838811357,185.89999999999998
0,35,-4.879077372074986,-6.0492033160181835,14.66504834522738,22.561612838811357,185.89999999999998
0,36,-4.595914002861673,-5.728016105679656,14.941709703747982,22.98724569807382,187.14999999999998
0,37,-4.569914002861675,-4.884534897056437,14.941709703747982,22.98724569807382,185.85000000000002
0,38,-4.569914002861675,-4.747892070712314,14.941709703747982,22.98724569807382,185.85000000000002
0,39,-4.271141756591111,-4.644288796379769,15.16595216736497,23.33223410363842,191.3
0,40,-4.271141756591111,-4.575770203717965,15.16595216736497,23.33223410363842,191.3
0,41,-4.271141756591111,-4.557307026619915,15.16595216736497,23.33223410363842,191.3
0,42,-4.15988595188773,-4.540546649053067,15.127011128209054,23.272324812629314,187.3
0,43,-4.15988595188773,-4.477854546947164,15.127011128209054,23.272324812629314,187.3
0,44,-4.157016452987464,-4.318464655321333,15.110699827358395,23.247230503628305,186.8
0,45,-4.132016452987464,-4.182774882368699,15.110699827358395,23.247230503628305,185.55
0,46,-4.132016452987464,-4.155885120644163,15.110699827358395,23.247230503628305,185.55
0,47,-4.102993898199332,-4.145974578882535,15.162527234564092,23.326964976252448,187.8
0,48,-4.075425791549693,-4.131285738053414,15.146215933713433,23.30187066725144,186.05
0,49,-4.060485625621388,-4.125841680593286,15.11621122780895,23.255709581244545,188.5
0,50,-3.784916233323739,-4.101707338065246,14.856027270104029,22.855426569390822,185.64999999999998
0,51,-3.7749162333237374,-4.0488277799573025,14.856027270104029,22.855426569390822,185.14999999999998
0,52,-3.6227917048223026,-3.960876298376293,15.335457864768715,23.593012099644184,188.5
0,53,-3.259272569218474,-3.8239333922125707,15.152417864768719,23.311412099644187,188.5
0,54,-2.7523693397364317,-3.715622691923098,15.0368718187798,23.133648951968926,187.89999999999998
0,55,-2.6726510453676466,-3.5950448156634915,15.15567928716726,23.316429672565015,188.1
0,56,-2.6726510453676466,-3.212629822789984,15.15567928716726,23.316429672565015,188.1
